latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.08084,14.45151,302.0,3600,Europe/Ljubljana,CET

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2000-01-01,3,0.6,-14.6,-6.9,-2.5,-19.0,-10.8,2000-01-01T07:44,2000-01-01T16:26,0.00,0.00,0.00,0.0,6.1,16.2,249,6.22,0.48
2000-01-02,3,3.2,-3.3,-0.7,0.5,-6.5,-3.9,2000-01-02T07:44,2000-01-02T16:27,0.00,0.00,0.00,0.0,6.1,13.7,204,4.62,0.46
2000-01-03,3,1.7,-11.0,-4.9,-1.9,-15.0,-8.6,2000-01-03T07:44,2000-01-03T16:28,0.00,0.00,0.00,0.0,7.3,19.8,256,5.70,0.46
2000-01-04,1,3.9,-10.8,-4.3,0.8,-15.1,-8.0,2000-01-04T07:44,2000-01-04T16:29,0.00,0.00,0.00,0.0,6.7,16.2,252,6.60,0.58
2000-01-05,2,4.5,-10.0,-3.5,1.7,-13.9,-6.9,2000-01-05T07:43,2000-01-05T16:30,0.00,0.00,0.00,0.0,4.7,14.0,257,5.98,0.54
2000-01-06,0,3.1,-9.4,-3.8,0.4,-13.2,-7.0,2000-01-06T07:43,2000-01-06T16:31,0.00,0.00,0.00,0.0,4.3,11.9,186,6.33,0.52
2000-01-07,3,1.9,-9.7,-3.7,-0.7,-13.1,-6.9,2000-01-07T07:43,2000-01-07T16:32,0.00,0.00,0.00,0.0,4.4,11.5,137,5.22,0.45
2000-01-08,2,2.3,-8.2,-2.7,-0.4,-11.5,-5.7,2000-01-08T07:43,2000-01-08T16:33,0.00,0.00,0.00,0.0,5.7,10.4,134,5.50,0.47
2000-01-09,3,0.8,-5.1,-2.2,-1.9,-8.0,-5.1,2000-01-09T07:43,2000-01-09T16:34,0.00,0.00,0.00,0.0,4.1,9.0,91,2.08,0.25
2000-01-10,3,-0.5,-5.3,-3.0,-4.2,-9.0,-6.4,2000-01-10T07:42,2000-01-10T16:35,0.00,0.00,0.00,0.0,7.6,20.5,85,3.39,0.31
2000-01-11,3,1.0,-4.3,-1.9,-2.8,-7.8,-5.5,2000-01-11T07:42,2000-01-11T16:36,0.00,0.00,0.00,0.0,10.5,27.0,76,2.17,0.27
2000-01-12,71,-0.9,-5.3,-3.2,-5.0,-9.1,-7.0,2000-01-12T07:41,2000-01-12T16:38,0.00,0.00,0.07,0.0,10.5,26.3,68,2.70,0.30
2000-01-13,3,-2.4,-7.9,-5.2,-5.8,-11.5,-8.7,2000-01-13T07:41,2000-01-13T16:39,0.00,0.00,0.00,0.0,6.6,16.6,80,3.09,0.29
2000-01-14,3,1.0,-11.0,-4.6,-2.0,-14.9,-8.0,2000-01-14T07:40,2000-01-14T16:40,0.00,0.00,0.00,0.0,4.2,10.1,16,3.81,0.36
2000-01-15,71,-0.1,-5.5,-2.7,-3.5,-9.0,-6.2,2000-01-15T07:40,2000-01-15T16:41,0.00,0.00,0.07,0.0,7.7,19.1,74,2.75,0.29
2000-01-16,3,-0.7,-6.0,-3.6,-5.3,-9.5,-7.5,2000-01-16T07:39,2000-01-16T16:43,0.00,0.00,0.00,0.0,12.4,31.0,83,3.51,0.36
2000-01-17,3,1.8,-11.0,-4.6,-2.6,-15.5,-8.7,2000-01-17T07:39,2000-01-17T16:44,0.00,0.00,0.00,0.0,11.6,32.4,253,5.31,0.50
2000-01-18,71,7.5,-2.6,1.3,5.0,-6.6,-2.3,2000-01-18T07:38,2000-01-18T16:45,0.70,0.30,0.28,3.0,12.1,36.7,250,6.13,0.74
2000-01-19,2,3.2,-7.7,-1.8,-1.4,-12.4,-6.1,2000-01-19T07:37,2000-01-19T16:47,0.00,0.00,0.00,0.0,14.3,30.2,293,7.63,0.93
2000-01-20,3,2.7,-5.8,-1.5,-1.3,-9.9,-5.3,2000-01-20T07:37,2000-01-20T16:48,0.00,0.00,0.00,0.0,8.4,21.6,257,7.46,0.76
2000-01-21,71,4.3,-7.4,-1.3,-0.1,-11.9,-5.4,2000-01-21T07:36,2000-01-21T16:49,0.00,0.00,0.07,0.0,14.7,34.6,248,7.41,0.71
2000-01-22,73,-3.8,-6.3,-5.1,-7.6,-11.0,-9.3,2000-01-22T07:35,2000-01-22T16:51,3.50,0.00,2.59,13.0,14.0,32.8,112,3.86,0.38
2000-01-23,73,0.6,-6.8,-4.0,-3.6,-10.5,-7.9,2000-01-23T07:34,2000-01-23T16:52,2.40,0.00,1.75,8.0,10.8,31.0,75,4.60,0.43
2000-01-24,3,-4.1,-10.2,-7.0,-9.6,-14.2,-11.8,2000-01-24T07:33,2000-01-24T16:53,0.00,0.00,0.00,0.0,17.8,42.5,69,8.40,0.66
2000-01-25,2,-4.4,-14.7,-9.7,-8.8,-18.9,-13.8,2000-01-25T07:32,2000-01-25T16:55,0.00,0.00,0.00,0.0,8.2,20.9,61,8.31,0.57
2000-01-26,0,-1.4,-17.8,-9.6,-5.3,-22.5,-14.0,2000-01-26T07:31,2000-01-26T16:56,0.00,0.00,0.00,0.0,9.1,20.5,262,8.54,0.68
2000-01-27,0,2.1,-15.0,-7.4,-2.1,-19.9,-11.9,2000-01-27T07:30,2000-01-27T16:58,0.00,0.00,0.00,0.0,9.3,22.7,256,8.56,0.74
2000-01-28,3,2.4,-8.8,-4.1,-1.5,-13.3,-8.2,2000-01-28T07:29,2000-01-28T16:59,0.00,0.00,0.00,0.0,12.7,29.5,259,6.58,0.59
2000-01-29,3,2.5,-6.7,-1.8,-2.6,-10.6,-6.3,2000-01-29T07:28,2000-01-29T17:01,0.00,0.00,0.00,0.0,19.5,50.8,257,5.03,0.50
2000-01-30,3,4.6,-1.9,1.5,0.4,-5.6,-3.0,2000-01-30T07:27,2000-01-30T17:02,0.00,0.00,0.00,0.0,21.7,56.2,256,6.44,0.61
2000-01-31,1,7.5,-4.1,1.0,3.1,-8.5,-2.9,2000-01-31T07:26,2000-01-31T17:04,0.00,0.00,0.00,0.0,23.7,54.7,256,7.34,0.70
2000-02-01,3,8.2,-3.3,2.2,5.0,-6.8,-1.2,2000-02-01T07:25,2000-02-01T17:05,0.00,0.00,0.00,0.0,15.0,39.2,253,8.60,0.86
2000-02-02,3,4.7,2.4,3.2,0.6,-1.7,-0.7,2000-02-02T07:23,2000-02-02T17:07,0.00,0.00,0.00,0.0,20.6,41.4,260,3.93,0.37
2000-02-03,3,9.4,2.2,5.5,6.2,-0.8,2.7,2000-02-03T07:22,2000-02-03T17:08,0.00,0.00,0.00,0.0,8.5,33.8,332,8.11,1.07
2000-02-04,1,7.3,-0.1,3.5,4.4,-3.9,0.2,2000-02-04T07:21,2000-02-04T17:10,0.00,0.00,0.00,0.0,9.6,22.3,183,9.38,1.08
2000-02-05,2,9.3,-1.5,2.7,6.5,-5.5,-0.8,2000-02-05T07:20,2000-02-05T17:11,0.00,0.00,0.00,0.0,11.2,29.2,256,8.49,0.97
2000-02-06,0,15.1,0.3,6.0,12.9,-3.1,3.3,2000-02-06T07:18,2000-02-06T17:13,0.00,0.00,0.00,0.0,7.9,23.4,254,9.51,1.32
2000-02-07,2,9.9,-1.2,3.6,6.2,-4.6,0.2,2000-02-07T07:17,2000-02-07T17:14,0.00,0.00,0.00,0.0,14.7,38.2,253,9.16,1.12
2000-02-08,3,6.9,1.7,4.0,2.3,-1.9,0.1,2000-02-08T07:16,2000-02-08T17:16,0.00,0.00,0.00,0.0,21.5,53.6,256,4.65,0.63
2000-02-09,53,8.9,2.2,5.3,7.2,-0.8,2.5,2000-02-09T07:14,2000-02-09T17:17,5.10,5.10,0.00,14.0,19.1,52.6,258,4.45,0.69
2000-02-10,3,8.9,-1.2,3.5,4.4,-4.3,0.1,2000-02-10T07:13,2000-02-10T17:19,0.00,0.00,0.00,0.0,14.3,34.9,112,9.37,1.27
2000-02-11,3,7.2,-1.0,2.5,3.6,-3.9,-0.7,2000-02-11T07:11,2000-02-11T17:20,0.00,0.00,0.00,0.0,9.6,24.5,83,9.06,1.07
2000-02-12,3,6.1,-0.2,2.6,2.8,-3.4,-0.6,2000-02-12T07:10,2000-02-12T17:22,0.00,0.00,0.00,0.0,9.5,25.6,86,6.58,0.81
2000-02-13,1,9.2,-0.7,3.1,6.0,-3.4,0.3,2000-02-13T07:08,2000-02-13T17:23,0.00,0.00,0.00,0.0,7.6,21.6,210,10.81,1.27
2000-02-14,3,9.5,-0.4,4.4,6.7,-3.8,1.5,2000-02-14T07:07,2000-02-14T17:24,0.00,0.00,0.00,0.0,7.7,21.2,160,9.18,1.18
2000-02-15,2,8.2,-0.5,2.8,4.5,-3.7,-0.4,2000-02-15T07:05,2000-02-15T17:26,0.00,0.00,0.00,0.0,10.2,23.8,228,8.25,1.01
2000-02-16,75,7.3,-0.0,3.2,4.3,-3.3,0.3,2000-02-16T07:04,2000-02-16T17:27,13.50,8.70,3.36,12.0,17.4,44.3,248,4.04,0.50
2000-02-17,73,5.2,-2.8,1.3,1.4,-6.7,-2.0,2000-02-17T07:02,2000-02-17T17:29,1.90,0.00,1.47,5.0,8.2,20.2,243,11.61,1.24
2000-02-18,3,6.1,-7.3,-1.0,1.5,-11.5,-5.1,2000-02-18T07:00,2000-02-18T17:30,0.00,0.00,0.00,0.0,12.4,26.6,247,11.93,1.38
2000-02-19,71,7.1,-3.6,1.4,3.0,-7.4,-2.2,2000-02-19T06:59,2000-02-19T17:32,1.00,0.90,0.07,5.0,15.9,37.8,258,7.78,0.98
2000-02-20,71,8.3,-2.5,2.7,4.6,-5.5,-0.5,2000-02-20T06:57,2000-02-20T17:33,0.10,0.00,0.07,1.0,9.8,32.0,8,10.95,1.43
2000-02-21,2,5.4,-1.4,1.6,0.4,-4.8,-2.3,2000-02-21T06:55,2000-02-21T17:35,0.00,0.00,0.00,0.0,11.9,37.1,39,10.54,1.37
2000-02-22,3,3.7,-2.5,0.2,-0.1,-5.9,-3.5,2000-02-22T06:54,2000-02-22T17:36,0.00,0.00,0.00,0.0,7.7,18.0,118,9.91,1.12
2000-02-23,3,6.9,-2.5,1.7,3.3,-5.9,-1.5,2000-02-23T06:52,2000-02-23T17:38,0.00,0.00,0.00,0.0,6.3,18.7,220,12.38,1.39
2000-02-24,3,8.2,-0.5,2.9,4.6,-3.5,-0.4,2000-02-24T06:50,2000-02-24T17:39,0.00,0.00,0.00,0.0,8.3,22.7,249,10.98,1.39
2000-02-25,3,7.4,-2.2,2.2,1.4,-6.5,-2.5,2000-02-25T06:49,2000-02-25T17:41,0.00,0.00,0.00,0.0,25.4,61.9,256,12.47,1.53
2000-02-26,3,9.7,-0.6,4.8,7.5,-3.9,2.3,2000-02-26T06:47,2000-02-26T17:42,0.00,0.00,0.00,0.0,7.1,22.0,168,8.82,1.14
2000-02-27,3,9.1,2.0,5.3,6.6,-0.5,2.9,2000-02-27T06:45,2000-02-27T17:43,0.00,0.00,0.00,0.0,7.6,21.2,105,8.63,1.11
2000-02-28,3,11.2,0.5,4.6,8.0,-3.2,1.9,2000-02-28T06:43,2000-02-28T17:45,0.00,0.00,0.00,0.0,9.8,24.8,212,13.10,1.63
2000-02-29,51,8.7,-1.5,3.8,3.6,-5.5,-0.5,2000-02-29T06:42,2000-02-29T17:46,0.10,0.10,0.00,1.0,22.9,55.4,244,9.42,1.24
2000-03-01,61,6.3,3.7,5.0,2.3,-0.1,1.3,2000-03-01T06:40,2000-03-01T17:48,24.40,24.40,0.00,24.0,25.8,60.1,225,3.48,0.37
2000-03-02,61,9.0,1.9,4.8,3.9,-1.5,1.3,2000-03-02T06:38,2000-03-02T17:49,8.80,8.80,0.00,6.0,15.7,46.4,16,11.38,1.75
2000-03-03,3,8.8,-0.2,4.0,3.5,-3.8,-0.3,2000-03-03T06:36,2000-03-03T17:51,0.00,0.00,0.00,0.0,19.6,49.3,246,14.34,2.01
2000-03-04,51,7.6,0.1,3.7,5.1,-4.4,-0.1,2000-03-04T06:34,2000-03-04T17:52,1.80,1.80,0.00,8.0,21.7,48.6,260,3.81,0.70
2000-03-05,71,6.5,-2.5,2.6,1.0,-6.2,-1.7,2000-03-05T06:32,2000-03-05T17:53,0.20,0.10,0.07,2.0,15.7,46.1,20,14.03,1.87
2000-03-06,2,8.0,-0.6,3.2,2.8,-4.2,-1.1,2000-03-06T06:31,2000-03-06T17:55,0.00,0.00,0.00,0.0,18.6,47.2,253,12.48,1.68
2000-03-07,1,9.8,-2.2,3.1,5.3,-6.5,-1.3,2000-03-07T06:29,2000-03-07T17:56,0.00,0.00,0.00,0.0,18.1,44.3,257,15.62,1.90
2000-03-08,51,12.0,-1.4,4.8,7.9,-5.2,1.0,2000-03-08T06:27,2000-03-08T17:58,0.20,0.20,0.00,1.0,17.4,43.6,254,13.82,1.84
2000-03-09,2,13.3,1.7,6.8,9.3,-1.7,3.1,2000-03-09T06:25,2000-03-09T17:59,0.00,0.00,0.00,0.0,22.6,57.2,253,14.76,1.93
2000-03-10,51,15.1,2.2,7.9,13.3,-0.8,5.6,2000-03-10T06:23,2000-03-10T18:00,1.00,1.00,0.00,6.0,12.1,28.1,257,12.65,1.89
2000-03-11,3,10.9,2.2,6.9,6.4,-0.3,3.6,2000-03-11T06:21,2000-03-11T18:02,0.00,0.00,0.00,0.0,25.3,64.1,248,9.94,1.31
2000-03-12,2,13.9,4.3,8.9,10.8,1.5,6.4,2000-03-12T06:19,2000-03-12T18:03,0.00,0.00,0.00,0.0,12.8,29.5,96,13.42,2.12
2000-03-13,2,13.0,2.0,7.1,10.6,-0.5,4.7,2000-03-13T06:17,2000-03-13T18:04,0.00,0.00,0.00,0.0,6.8,18.7,142,14.07,1.91
2000-03-14,2,14.4,3.0,8.3,11.5,0.4,5.5,2000-03-14T06:15,2000-03-14T18:06,0.00,0.00,0.00,0.0,16.8,41.0,249,16.20,2.35
2000-03-15,55,10.0,1.4,6.7,6.3,-2.1,3.4,2000-03-15T06:13,2000-03-15T18:07,4.90,4.90,0.00,9.0,15.9,46.1,211,9.33,1.51
2000-03-16,71,9.0,-2.1,3.3,5.2,-6.1,-0.4,2000-03-16T06:11,2000-03-16T18:09,2.10,2.00,0.07,6.0,25.9,61.9,254,13.69,1.62
2000-03-17,71,9.6,-1.6,3.4,5.8,-4.7,-0.4,2000-03-17T06:10,2000-03-17T18:10,1.70,1.10,0.63,10.0,24.1,60.8,245,12.35,1.39
2000-03-18,3,9.7,-1.0,3.4,4.1,-4.0,-0.6,2000-03-18T06:08,2000-03-18T18:11,0.00,0.00,0.00,0.0,18.9,46.4,73,15.42,2.22
2000-03-19,53,6.6,-0.2,2.6,4.0,-3.6,-0.5,2000-03-19T06:06,2000-03-19T18:13,2.90,2.90,0.00,8.0,7.3,33.8,171,10.42,1.25
2000-03-20,3,9.5,-1.0,3.9,6.1,-4.2,0.8,2000-03-20T06:04,2000-03-20T18:14,0.00,0.00,0.00,0.0,6.3,18.4,152,12.41,1.62
2000-03-21,3,12.1,0.7,6.1,8.8,-2.4,3.2,2000-03-21T06:02,2000-03-21T18:15,0.00,0.00,0.00,0.0,9.5,25.9,141,14.20,2.04
2000-03-22,0,14.4,1.5,7.2,12.4,-1.5,4.5,2000-03-22T06:00,2000-03-22T18:17,0.00,0.00,0.00,0.0,9.5,28.1,241,18.91,2.64
2000-03-23,1,15.1,-0.2,7.0,12.6,-3.8,3.8,2000-03-23T05:58,2000-03-23T18:18,0.00,0.00,0.00,0.0,15.7,37.1,251,19.06,2.76
2000-03-24,53,13.3,2.3,7.2,9.3,-1.3,3.6,2000-03-24T05:56,2000-03-24T18:19,1.10,1.10,0.00,3.0,18.9,52.9,254,13.12,2.00
2000-03-25,51,13.3,4.5,8.7,11.5,1.6,6.7,2000-03-25T05:54,2000-03-25T18:21,0.50,0.50,0.00,2.0,11.5,30.6,251,11.92,1.72
2000-03-26,61,12.6,5.1,8.6,10.3,3.2,6.7,2000-03-26T05:52,2000-03-26T18:22,3.30,3.30,0.00,7.0,11.4,34.2,240,12.32,1.69
2000-03-27,55,10.8,5.0,7.3,8.9,2.9,5.5,2000-03-27T05:50,2000-03-27T18:23,4.00,4.00,0.00,12.0,11.0,37.4,218,10.88,1.41
2000-03-28,55,13.1,3.9,8.1,9.3,1.4,5.3,2000-03-28T05:48,2000-03-28T18:25,3.10,3.10,0.00,6.0,16.3,40.7,232,14.08,2.10
2000-03-29,63,9.1,4.2,6.8,7.0,1.8,4.8,2000-03-29T05:46,2000-03-29T18:26,26.40,26.40,0.00,17.0,14.0,50.4,71,3.74,0.54
2000-03-30,51,9.4,3.9,6.7,6.2,0.8,3.3,2000-03-30T05:44,2000-03-30T18:27,2.20,2.20,0.00,10.0,18.6,64.8,231,13.87,1.60
2000-03-31,3,12.4,3.2,7.6,8.4,0.2,4.2,2000-03-31T05:42,2000-03-31T18:29,0.00,0.00,0.00,0.0,20.0,49.0,245,17.59,2.47
2000-04-01,55,8.3,4.1,6.2,5.6,1.9,4.0,2000-04-01T05:41,2000-04-01T18:30,9.40,9.40,0.00,15.0,13.6,37.1,57,6.11,0.86
2000-04-02,3,12.7,1.1,7.1,9.5,-1.7,4.4,2000-04-02T05:39,2000-04-02T18:31,0.00,0.00,0.00,0.0,16.7,42.8,244,15.62,2.18
2000-04-03,51,13.5,3.5,8.6,10.9,1.0,6.6,2000-04-03T05:37,2000-04-03T18:33,0.70,0.70,0.00,3.0,12.5,42.5,243,11.91,1.78
2000-04-04,51,14.3,7.4,10.6,11.4,6.0,8.5,2000-04-04T05:35,2000-04-04T18:34,0.20,0.20,0.00,2.0,20.3,51.1,238,13.79,2.04
2000-04-05,53,16.7,5.2,9.9,14.1,3.0,7.7,2000-04-05T05:33,2000-04-05T18:35,3.00,3.00,0.00,7.0,12.7,38.9,261,13.64,2.24
2000-04-06,63,14.3,4.2,8.4,13.0,-0.2,6.2,2000-04-06T05:31,2000-04-06T18:37,12.30,12.30,0.00,18.0,14.5,34.9,81,10.92,1.81
2000-04-07,3,12.8,1.2,7.1,8.9,-2.7,3.4,2000-04-07T05:29,2000-04-07T18:38,0.00,0.00,0.00,0.0,17.6,45.4,72,19.00,2.84
2000-04-08,51,13.3,2.3,8.1,10.9,-1.0,5.3,2000-04-08T05:27,2000-04-08T18:39,0.50,0.50,0.00,3.0,9.8,29.5,295,18.82,2.73
2000-04-09,3,13.0,3.6,8.0,9.1,1.2,5.2,2000-04-09T05:26,2000-04-09T18:40,0.00,0.00,0.00,0.0,14.2,32.4,231,15.42,2.37
